Commune,proportion23_6,prop_acc_autouroute,age,Hiver,Automne,Printemps,Ete,Plein_jour,Crepuscule_ou_aube,Nuit_s_eclairage_public,Nuit_a_eclairage_public_n_allume,Nuit_a_eclairage_public_allume,M,F,Conducteur,Passager,Pieton,prop_acc_deux_roues,prop_acc_quatre_roues,prop_acc_bus_train,Superficie,prop_chaumage,prop_actif,score_norm,score_bin,score_multi
81098,1.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.48,0.05571737651102611,0.5179952530314579,0.2839150591867106,0,1
24138,0.0,0.0,46.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5,0.5,0.0,21.7,0.06771579962359442,0.3986142323058075,0.2839150591867106,0,1
49050,0.0,0.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,0.0,0.0,0.57,0.43,0.0,120.89,0.03954452896546641,0.48542612316363287,0.6255520879058352,1,2
28068,0.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.5,0.5,0.0,10.17,0.030054860517654505,0.5531880312885888,0.608905274780009,1,2
92022,0.07,0.0,44.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2,0.7333333333333333,0.0,0.0,0.0,0.26666666666666666,0.8666666666666667,0.13333333333333333,24.0,13.0,3.0,0.25,0.5,0.13,3.55,0.04340634155084156,0.5291953815503346,0.9066490702323928,1,3
25512,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.5,0.0,24.17,0.04318936877076412,0.5377906976744186,0.2839150591867106,0,1
40279,0.0,0.0,48.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,58.45,0.06602263366732075,0.4139544985622539,0.6971252231499869,1,3
59509,0.5,0.5,29.0,0.5,0.25,0.25,0.0,0.0,0.25,0.5,0.0,0.25,1.0,0.0,6.0,3.0,0.0,0.17,0.83,0.0,7.16,0.06394384909506592,0.43208010824550935,0.6314095458579507,1,2
28018,0.0,1.0,51.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,34.82,0.04596935376415723,0.4090606262491672,0.6912320601153235,1,3
95678,0.08,0.0,40.0,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.0,0.0,0.8461538461538461,0.15384615384615385,24.0,3.0,0.0,0.17,0.83,0.0,9.82,0.04063395145733101,0.4769653266462033,0.8924135960081305,1,3
64238,0.5,0.25,34.0,0.5,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.25,1.0,0.0,7.0,1.0,0.0,0.14,0.86,0.0,31.49,0.029939588090934027,0.47505922213895835,0.6978763073744962,1,3
25196,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.67,0.33,5.67,0.04927536231884094,0.46159420289855174,0.4430626802022583,1,2
30272,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.83,0.1,0.414285714285714,0.5358522338816116,1,2
78146,0.0,0.0,51.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.0,5.0,1.0,1.0,0.4,0.4,0.0,5.08,0.042197885216684904,0.4931765779560442,0.5209771552243025,1,2
83003,0.0,0.0,55.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.5,0.0,82.77,0.06462212486308871,0.49069003285870755,0.5161153094711983,1,2
27413,0.0,0.0,69.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.94,0.07715577242005135,0.40828182334434365,0.5161153094711983,1,2
63181,0.5,0.5,46.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,10.76,0.019963702359346643,0.5099818511796733,0.4265667170129099,1,2
